Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	turnover
490	-46007.3	-45787.6	-219.747	0.3064324	0.0004848608	0.2573536	0.1601619	0.04907879	0.8398381
500	-46008.7	-45785.6	-223.16	0.1194636	0.0004776883	0.07038482	0.4108263	0.04907879	0.5891737
510	-46016.9	-45795.2	-221.735	0.2857408	0.0004776306	0.236662	0.1717598	0.04907879	0.8282402
520	-46014.9	-45791.6	-223.35	0.09469001	0.0004776306	0.04561122	0.5183101	0.04907879	0.4816899
530	-46010.3	-45785.7	-224.549	0.1136842	0.0004711004	0.06460543	0.4317115	0.04907879	0.5682885
540	-46014.6	-45792	-222.602	0.1266244	0.0004900834	0.07754566	0.3875933	0.04907879	0.6124067
550	-46015.5	-45795.1	-220.48	0.1668388	0.0004911717	0.11776	0.294169	0.04907879	0.705831
560	-46017.4	-45796.3	-221.06	0.172877	0.0004820145	0.1237982	0.2838943	0.04907879	0.7161057
570	-46011.3	-45790	-221.288	0.1636585	0.0004760408	0.1145797	0.2998854	0.04907879	0.7001146
580	-46011.2	-45789.1	-222.066	0.218144	0.0004665519	0.1690652	0.2249835	0.04907879	0.7750165
590	-46012.8	-45792.4	-220.438	0.5078797	0.0004760569	0.4588009	0.09663467	0.04907879	0.9033653
600	-46014.2	-45793.7	-220.522	0.1598617	0.0004859854	0.110783	0.3070077	0.04907879	0.6929923
610	-46008.4	-45787	-221.422	0.3869077	0.0004887229	0.3378289	0.1268488	0.04907879	0.8731512
620	-46016.8	-45794.8	-222.003	0.3353978	0.000475528	0.286319	0.1463301	0.04907879	0.8536699
630	-46010.1	-45790.2	-219.824	0.3338762	0.0004716985	0.2847974	0.146997	0.04907879	0.853003
640	-46009.7	-45787.4	-222.29	0.1619973	0.00047662	0.1129185	0.3029606	0.04907879	0.6970394
650	-46012.4	-45790.1	-222.284	0.2339569	0.000466883	0.1848781	0.2097771	0.04907879	0.7902229
660	-46017.4	-45790.9	-226.465	0.08591839	0.0004679187	0.0368396	0.5712257	0.04907879	0.4287743
